Код подразделения,Название подразделения,Код родителя
АП.2.9.12,(V) Операционный директор,АП.2.9
АП.2.9.9.6,Аутлеты ИМ,АП.2.9.9
АП.2.9.9,Департамент диджитал-маркетинга,АП.2.9
АП.2.9.9.2,Отдел маркетинговой аналитики,АП.2.9.9
АП.2.9.9.3,Отдел перфоманс маркетинга и рекламы,АП.2.9.9
АП.2.9.9.4,Отдел целевого маркетинга,АП.2.9.9
АП.2.9.12.2,Департамент операционной деятельности интернет-магазина,АП.2.9.12
АП.2.9.12.2.5,Отдел мониторинга логистики,АП.2.9.12.2
АП.2.9.12.2.10.1,Группа по обучению и развитию персонала,АП.2.9.12.2.10
АП.2.9.12.2.10,Отдел обучения и контроля качества,АП.2.9.12.2
АП.2.9.12.2.3.1,Группа аналитики и оперативной отчетности,АП.2.9.12.2.3
АП.2.9.12.2.3.2,Группа внешней доставки,АП.2.9.12.2.3
АП.2.9.12.2.3.3,Группа по работе с поставщиками,АП.2.9.12.2.3
АП.2.9.12.2.3,Управление операционной эффективности и внешней доставки,АП.2.9.12.2
АП.2.9.12.2.6.2,Отдел внутреннего аудита,АП.2.9.12.2.6
АП.2.9.12.2.1.1.1.1,Группа VIP онлайн,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.3,Группа Коллект,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.4,Группа контроля качества,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.6,Группа Отгрузки,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.14,Группа по ремонту изделий,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.8,Группа Приемки,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.13,Группа складской поддержки,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.9,Группа Сортировки,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1.10,Группа Упаковки,АП.2.9.12.2.1.1.1
АП.2.9.12.2.1.1.1,Отдел складской логистики Москвы,АП.2.9.12.2.1.1
АП.2.9.12.2.1.1.4.1,Отделение Алкон,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.2,Отделение Барвиха,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.3,Отделение Владивосток,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.4,Отделение Екатеринбург,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.5,Отделение Казань,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.6,Отделение Краснодар,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.7,Отделение Красноярск,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.8,Отделение Кутузовский,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.17,Отделение Москва-Сити,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.9,Отделение Нижний Новгород,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.10,Отделение Новосибирск,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.11,Отделение Репино,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.12,Отделение Ростов-на-Дону,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.13,Отделение Самара,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.14,Отделение Сочи,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.15,Отделение Тюмень,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.4.16,Отделение Шуваловский,АП.2.9.12.2.1.1.4
АП.2.9.12.2.1.1.2,Отдел складской логистики Санкт-Петербурга,АП.2.9.12.2.1.1
АП.2.9.12.2.1.2.4,Группа маршрутизации,АП.2.9.12.2.1.2
АП.2.9.12.2.1.2.4.1,Отделение Санкт-Петербург,АП.2.9.12.2.1.2.4
АП.2.9.12.2.1.2.1.2,Группа Водителей-Экспедиторов,АП.2.9.12.2.1.2.1
АП.2.9.12.2.1.2.1.4,Группа Коллект,АП.2.9.12.2.1.2.1
АП.2.9.12.2.1.2.1.6,Группа Торговых представителей,АП.2.9.12.2.1.2.1
